english,reference_odia,greedy_prediction_odia
I have all the proof.,ମୋର ସମସ୍ତ ପ୍ରମାଣ ଅଛି।,ମୁଁ ସମସ୍ତ ପ୍ରକାରମାନେ ସବୁ କଥା କରୁଛି।
This has unnerved the government.,ଏହା ସରକାରଙ୍କ ଅପରାଗତାକୁ ପଦାରେ ପକାଇ ଦେଇଛି।,ଏହା ସରକାରଙ୍କ ପାଖରେ ସରକାର।
"However, people are not coming forward to use it.",ହେଲେ ଲୋକମାନେ ସେଗୁଡିକ ବ୍ୟବହାର ଯେପରି କରିବା କଥା ତାହା କରୁ ନାହିଁନ୍ତି।,ତେବେ ଏହା ଉପରେ ଧ୍ୟାନ ଦେବାକୁ ପଡ଼ିବ ନାହିଁ।
It is in the news every day.,ପ୍ରତିଦିନ ନ୍ୟୁଜରେ ଏପରି ଖବର ଦେଖିବାକୁ ମିଳୁଛି।,ଦିନକୁ ଦିନ ହେଲା ଏହି ଖବର।
I have never gone abroad.,ଦିବ୍ୟାଂଶୀ କେବେ ବିଦେଶ ଯାଇନାହାନ୍ତି।,ମୁଁ କେବେ ବି କେବେ ବି କେବେବିନି।
"On Mahatma Gandhis 150th birth anniversary, PM Modi to declare country open defecation-free",ମହାତ୍ମା ଗାନ୍ଧୀଙ୍କ ୧୫୦ତମ ଜୟନ୍ତୀରେ ଦେଶ ବାହ୍ୟ ମଳମୁକ୍ତ ବୋଲି ଘୋଷଣା କରିବେ ପ୍ରଧାନମନ୍ତ୍ରୀ ମୋଦୀ,"ପ୍ରଧାନମନ୍ତ୍ରୀ ମୋଦୀ ଆଜି ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି, ‘ଅନ୍’ର ମୁଖ୍ୟ ଅତିଥି ଭାବେ ଯୋଗ ଦେବେ ।"
Police are trying to to arrest the accused persons.,ଅଭିଯୁକ୍ତମାନଙ୍କୁ ଧରିବାକୁ ପୋଲିସର ତନାଘନା ଜାରି ରହିଛି।,ପୋଲିସ ଅଭିଯୁକ୍ତ ଗିରଫ କରିବା ପାଇଁ ଉଦ୍ୟମ ଚଳାଇଛି।
"And, I am confident that we, the nation of 125 crore people comprising 65 percent youth population can reach an exalted status in the world of sports too.","କିନ୍ତୁ ଆମ ପ୍ରସ୍ତୁତି ସମ୍ପୂର୍ଣ୍ଣ ଭାବରେ ହେବା ଦରକାର ଏବଂ ଆମେ ଶହେ ପଚିଶ କୋଟି ଦେଶବାସୀ, ଯେଉଁ ଦେଶର ମୋଟ ଜନସଂଖ୍ୟାର 65 ପ୍ରତିଶତ ଯୁବଗୋଷ୍ଠୀର, ଆମେ ଖେଳର ଦୁନିଆରେ ମଧ୍ୟ ଉନ୍ନତ ସ୍ଥିତିରେ ରହିବା।","""ସଦାପ୍ରଭୁ ମୁଁ ଏକ ବର୍ଷ ରେ ଏକ ବର୍ଷ ଧରି ମୁଁ ଏକ ବର୍ଷ ଧରି ମୁଁ ବହୁତ ବଡ଼ ଭୂମିକା ଗ୍ରହଣ କରିବା ପାଇଁ, ମୁଁ ବହୁତ ବଡ଼ ଭୂମିକା ଗ୍ରହଣ କରିପାରିବ ।"
The 1942 movement prepared the ground work for our independence.,1947ରେ ଦେଶ ସ୍ୱାଧୀନ ହେଲା ।,ଏହି ପ୍ରକଳ୍ପ ପାଇଁ 442 କୋଟି ଟଙ୍କା ବ୍ୟୟବରାଦ କରାଯାଇଛି ।
Grains and lentils:,କାକୁଡ଼ି ଓ ତେନ୍ତୁଳି :,– ମୀନ:
